249,219
248,219
247,220
246,220
246,222
245,229
245,241
245,260
245,280
247,303
251,323
255,337
261,347
264,352
268,357
273,362
278,365
287,369
300,370
317,368
334,359
350,349
364,335
374,321
383,302
388,288
393,274
397,265
402,253
408,239
413,226
419,214
423,209
425,207
430,205
437,203
444,201
452,200
455,200
470,202
488,211
506,221
519,232
528,244
537,257
543,265
547,271
549,274
549,278
550,281
552,286
554,291
555,295
557,299
559,304
564,311
568,315
571,316
574,317
580,318
587,318
592,319
597,319
597,317
600,211
600,209
600,208
600,207
600,209
593,230
585,249
575,275
572,291
571,301
571,304
571,306
571,301
571,288
571,268
569,254
566,240
563,232
560,228
552,232
531,253
508,277
473,305
439,326
374,298
360,276
338,244
322,222
316,214
312,211
312,210
311,210
309,211
299,223
285,248
275,270
265,289
256,304
253,309
252,310
251,310
248,310
245,307
243,305
232,291
226,281
224,280
219,269
220,280
220,297
220,316
221,332
221,346
221,353
221,359
221,363
221,366
221,367
197,331
196,329
191,322
188,316
187,313
186,311
186,309
185,306
185,305
185,304
186,301
187,301
196,294
196,293
196,294
197,298
198,300
198,302
198,298
194,283
189,272
186,266
186,263
185,263
185,265
185,277
184,296
184,309
184,317
184,320
184,322
184,314
182,296
180,283
179,271
179,263
178,260
178,265
173,277
170,288
167,298
162,307
157,316
155,320
152,323
148,314
140,292
130,270
127,262
125,260
124,263
117,280
111,295
105,309
103,314
101,319
101,317
103,299
107,281
108,274
108,276
116,302
124,319
129,323
131,323
136,323
151,314
183,292
238,260
281,240
304,233
313,233
318,234
326,242
384,282
401,288
448,294
501,288
550,272
579,255
588,248
594,244
596,243
594,243
567,243
535,243
501,243
475,245
460,250
455,251
479,243
504,236
520,232
536,228
542,226
543,226
536,226
525,227
514,229
503,231
495,234
489,237
488,237
501,233
540,224
566,220
587,219
594,219
588,220
577,225
557,232
544,236
547,236
550,236
551,236
577,227
585,225
586,225
577,225
551,225
526,227
509,229
498,229
500,229
506,226
518,222
527,221
534,220
536,220
583,218
583,220
583,223
583,231
584,237
585,243
585,195
585,193
585,198
584,212
583,225
583,239
583,244
583,248
583,250
583,248
583,233
586,216
589,203
594,190
597,184
598,181
599,179
601,183
605,193
610,206
613,217
614,224
614,228
614,226
616,223
619,216
622,209
625,202
627,197
629,193
630,192
633,199
637,208
640,213
640,215
641,216
641,218
649,208
655,198
662,189
665,182
666,180
666,179
667,184
669,190
672,198
674,204
678,215
679,219
680,221
683,220
686,216
691,208
693,203
695,199
695,198
695,199
696,208
699,216
700,219
701,219
703,219
705,217
708,212
709,209
710,207
710,206
710,207
708,213
699,220
692,225
682,228
671,229
664,228
659,225
650,219
641,213
635,207
629,203
626,202
620,205
613,211
602,226
592,240
581,252
571,259
569,262
564,255
556,244
548,231
546,223
543,216
543,218
542,236
536,256
533,264
533,266
533,265
531,244
531,223
531,210
531,203
531,201
531,202
531,205
533,210
535,215
536,218
536,220
536,220
536,234
537,240
537,242
538,237
542,228
547,213
552,198
556,189
557,187
561,196
567,211
572,228
576,239
577,245
577,247
578,248
578,250
578,248
582,242
386,234
385,233
384,233
384,236
385,247
389,263
391,275
395,288
399,296
400,299
401,300
411,300
427,295
447,282
466,265
479,247
493,226
502,210
506,200
506,194
506,195
506,201
507,213
510,225
511,244
513,260
514,270
514,277
514,279
514,282
514,285
514,289
514,290
514,292
513,292
512,293
508,293
490,288
474,279
466,274
462,269
460,264
456,256
453,247
449,241
447,236
446,234
446,235
448,237
457,249
466,257
469,262
471,265
472,265
472,263
472,257
472,234
472,216
472,197
472,191
472,192
472,195
485,234
485,235
487,243
487,248
487,249
487,248
485,239
482,229
481,222
481,217
481,219
479,225
476,233
470,243
466,249
463,255
462,255
460,255
457,254
452,247
449,241
446,235
446,233
446,232
446,233
446,235
446,238
446,242
447,247
447,250
448,250
450,249
453,244
455,241
455,240
456,240
457,240
461,243
470,252
476,259
479,262
478,260
476,255
470,245
465,237
461,229
459,227
458,227
455,228
453,230
451,234
449,239
448,246
447,252
447,254
447,253
446,251
444,248
439,238
436,235
436,233
435,234
432,237
426,257
425,262
425,266
425,268
425,267
425,265
427,256
428,245
431,242
432,240
432,242
433,243
435,247
436,252
438,258
439,261
440,260
441,258
444,255
446,253
447,250
447,248
447,244
447,240
447,239
447,238
447,237
447,236
444,235
442,233
